"","","Page Name","Page ID","Democrats","Republicans","Candidates Mentioned+","Approx. Spend on Mentions^","# of Ads Mentioning","Sponsor Name(s)","Candidate Page","Approx. Democrat Spend","Approx. Republican Spend"
"1","⊕","Team Trump","1771156219840594","0.23","0.77","Donald Trump (54057), Joseph Biden (16205)","$16,623,723","70,262","TRUMP, DONALD J.","1","$3,834,042","$12,789,681"
"2","⊕","Mike Pence","6726182861","0.2","0.8","Donald Trump (44807), Joseph Biden (11485)","$9,592,281","56,292","MIKE PENCE, TRUMP, DONALD J.","1","$1,957,069","$7,635,212"
"3","⊕","Preserve America PAC","103472678159706","0.97","0.03","Joseph Biden (226), Donald Trump (8)","$1,079,062","234","PRESERVE AMERICA PAC","0","$1,042,171","$36,891"
"4","⊕","Cost of Chaos","101359811498192","0.24","0.76","Donald Trump (6719), Joseph Biden (2160)","$3,182,826","8,879","PRIORITIES USA ACTION","0","$774,288","$2,408,538"
"5","⊕","America First Action","332716170522025","0.56","0.44","Joseph Biden (3198), Donald Trump (2494)","$925,631","5,692","AMERICA FIRST ACTION","0","$520,058","$405,573"
"6","⊕","Progressive Turnout Project","1615018905412860","0.22","0.78","Donald Trump (2196), Mitch McConnell* (617), Joseph Biden (507), Lindsey Graham* (172), Susan Collins* (137), Jaime R. Harrison* (136), Amy McGrath* (95), Doug Collins* (43), Joni Ernst* (21), Cory Booker* (14), Martha McSally* (12), Mark Kelly* (10), Thom Tillis* (8), Cory Gardner* (5), Steve Bullock* (4)","$2,304,000","3,977","PROGRESSIVE TURNOUT PROJECT","0","$504,103","$1,799,897"
"7","⊕","Balance of Power","328853823844484","0.54","0.46","Joseph Biden (1273), Donald Trump (1067)","$785,253","2,340","NA","0","$427,191","$358,062"
"8","⊕","NRA Institute for Legislative Action","22561081832","1","0","Joseph Biden (511), Cal Cunningham* (40), John Hickenlooper* (39), Jon Ossoff* (39), Steve Bullock* (37), Mark Kelly* (21), Theresa Greenfield* (21), M.J. Hegar* (12), Daniel S. Sullivan* (3)","$423,089","723","NATIONAL RIFLE ASSOCIATION OF AMERICA, NRA VICTORY FUND, INC.","0","$421,333","$1,756"
"9","⊕","Wrong Path McGrath","594179467757742","0.85","0.15","Amy McGrath* (41), Donald Trump (7), Charles Booker* (2)","$367,252","50","MCCONNELL, MITCH","1","$313,694","$53,558"
"10","⊕","Clueless Cal","103050098137502","0.93","0.07","Cal Cunningham* (291), Donald Trump (22), Thom Tillis* (22)","$330,040","335","NATIONAL REPUBLICAN SENATORIAL CMTE","0","$306,842","$23,198"
